 [До]: Эталонная таблица идентификаторов опкодов (кодов операций), начальное состояние

 00007FF77430F0EEh, <%118> = 117 | 75h | 117d
 00007FF77430F0EEh, <%119> = 118 | 76h | 118d
 00007FF77430F0EEh, <%120> = 119 | 77h | 119d
 00007FF77430F0EEh, <%121> = 120 | 78h | 120d
 00007FF77430F0EEh, <%122> = 121 | 79h | 121d
 00007FF77430F0EEh, <%123> = 122 | 7Ah | 122d
 00007FF77430F0EEh, <%124> = 123 | 7Bh | 123d
 00007FF77430F0EEh, <%125> = 124 | 7Ch | 124d
 00007FF77430F0EEh, <%126> = 125 | 7Dh | 125d
 00007FF77430F0EEh, <%127> = 126 | 7Eh | 126d
 00007FF77430F0EEh, <%128> = 127 | 7Fh | 127d
 00007FF77430F0EEh, <%129> = 128 | 80h | 128d
 00007FF77430F0EEh, <%130> = 129 | 81h | 129d
 00007FF77430F0EEh, <%131> = 130 | 82h | 130d
 00007FF77430F0EEh, <%132> = 131 | 83h | 131d
 00007FF77430F0EEh, <%133> = 132 | 84h | 132d
 00007FF77430F0EEh, <%134> = 133 | 85h | 133d
 00007FF77430F0EEh, <%135> = 134 | 86h | 134d
 00007FF77430F0EEh, <%136> = 135 | 87h | 135d
 00007FF77430F0EEh, <%137> = 136 | 88h | 136d
 00007FF77430F0EEh, <%138> = 137 | 89h | 137d
 00007FF77430F0EEh, <%139> = 138 | 8Ah | 138d
 00007FF77430F0EEh, <%140> = 139 | 8Bh | 139d
 00007FF77430F0EEh, <%141> = 140 | 8Ch | 140d
 00007FF77430F0EEh, <%142> = 141 | 8Dh | 141d
 00007FF77430F0EEh, <%143> = 142 | 8Eh | 142d
 00007FF77430F0EEh, <%144> = 143 | 8Fh | 143d
 00007FF77430F0EEh, <%145> = 144 | 90h | 144d
 00007FF77430F0EEh, <%146> = 145 | 91h | 145d
 00007FF77430F0EEh, <%147> = 146 | 92h | 146d
 00007FF77430F0EEh, <%148> = 147 | 93h | 147d
 00007FF77430F0EEh, <%149> = 148 | 94h | 148d
 00007FF77430F0EEh, <%150> = 149 | 95h | 149d
 00007FF77430F0EEh, <%151> = 150 | 96h | 150d
 00007FF77430F0EEh, <%152> = 151 | 97h | 151d
 00007FF77430F0EEh, <%153> = 152 | 98h | 152d
 00007FF77430F0EEh, <%154> = 153 | 99h | 153d
 00007FF77430F0EEh, <%155> = 154 | 9Ah | 154d
 00007FF77430F0EEh, <%156> = 155 | 9Bh | 155d
 00007FF77430F0EEh, <%157> = 156 | 9Ch | 156d
 00007FF77430F0EEh, <%158> = 157 | 9Dh | 157d
 00007FF77430F0EEh, <%159> = 158 | 9Eh | 158d
 00007FF77430F0EEh, <%160> = 159 | 9Fh | 159d
 00007FF77430F0EEh, <%161> = 160 | A0h | 160d
 00007FF77430F0EEh, <%162> = 161 | A1h | 161d
 00007FF77430F0EEh, <%163> = 162 | A2h | 162d
 00007FF77430F0EEh, <%164> = 163 | A3h | 163d
 00007FF77430F0EEh, <%165> = 164 | A4h | 164d
 00007FF77430F0EEh, <%166> = 165 | A5h | 165d
 00007FF77430F0EEh, <%167> = 166 | A6h | 166d
 00007FF77430F0EEh, <%168> = 167 | A7h | 167d
 00007FF77430F0EEh, <%169> = 168 | A8h | 168d
 00007FF77430F0EEh, <%170> = 169 | A9h | 169d
 00007FF77430F0EEh, <%171> = 170 | AAh | 170d
 00007FF77430F0EEh, <%172> = 171 | ABh | 171d
 00007FF77430F0EEh, <%173> = 172 | ACh | 172d
 00007FF77430F0EEh, <%174> = 173 | ADh | 173d
 00007FF77430F0EEh, <%175> = 174 | AEh | 174d
 00007FF77430F0EEh, <%176> = 175 | AFh | 175d
 00007FF77430F0EEh, <%177> = 176 | B0h | 176d
 00007FF77430F0EEh, <%178> = 177 | B1h | 177d
 00007FF77430F0EEh, <%179> = 178 | B2h | 178d
 00007FF77430F0EEh, <%180> = 179 | B3h | 179d
 00007FF77430F0EEh, <%181> = 180 | B4h | 180d
 00007FF77430F0EEh, <%182> = 181 | B5h | 181d
 00007FF77430F0EEh, <%183> = 182 | B6h | 182d
 00007FF77430F0EEh, <%184> = 183 | B7h | 183d
 00007FF77430F0EEh, <%185> = 184 | B8h | 184d
 00007FF77430F0EEh, <%186> = 185 | B9h | 185d
 00007FF77430F0EEh, <%187> = 186 | BAh | 186d
 00007FF77430F0EEh, <%188> = 187 | BBh | 187d
 00007FF77430F0EEh, <%189> = 188 | BCh | 188d
 00007FF77430F0EEh, <%190> = 189 | BDh | 189d
