 [До]: Эталонная таблица идентификаторов опкодов (кодов операций), начальное состояние

 00007FF69E2BF29Dh, <%61> = 60 | 3Ch | 060d
 00007FF69E2BF29Dh, <%62> = 61 | 3Dh | 061d
 00007FF69E2BF29Dh, <%63> = 62 | 3Eh | 062d
 00007FF69E2BF29Dh, <%64> = 63 | 3Fh | 063d
 00007FF69E2BF29Dh, <%65> = 64 | 40h | 064d
 00007FF69E2BF29Dh, <%66> = 65 | 41h | 065d
 00007FF69E2BF29Dh, <%67> = 66 | 42h | 066d
 00007FF69E2BF29Dh, <%68> = 67 | 43h | 067d
 00007FF69E2BF29Dh, <%69> = 68 | 44h | 068d
 00007FF69E2BF29Dh, <%70> = 69 | 45h | 069d
 00007FF69E2BF29Dh, <%71> = 70 | 46h | 070d
 00007FF69E2BF29Dh, <%72> = 71 | 47h | 071d
 00007FF69E2BF29Dh, <%73> = 72 | 48h | 072d
 00007FF69E2BF29Dh, <%74> = 73 | 49h | 073d
 00007FF69E2BF29Dh, <%75> = 74 | 4Ah | 074d
 00007FF69E2BF29Dh, <%76> = 75 | 4Bh | 075d
 00007FF69E2BF29Dh, <%77> = 76 | 4Ch | 076d
 00007FF69E2BF29Dh, <%78> = 77 | 4Dh | 077d
 00007FF69E2BF29Dh, <%79> = 78 | 4Eh | 078d
 00007FF69E2BF29Dh, <%80> = 79 | 4Fh | 079d
 00007FF69E2BF29Dh, <%81> = 80 | 50h | 080d
 00007FF69E2BF29Dh, <%82> = 81 | 51h | 081d
 00007FF69E2BF29Dh, <%83> = 82 | 52h | 082d
 00007FF69E2BF29Dh, <%84> = 83 | 53h | 083d
 00007FF69E2BF29Dh, <%85> = 84 | 54h | 084d
 00007FF69E2BF29Dh, <%86> = 85 | 55h | 085d
 00007FF69E2BF29Dh, <%87> = 86 | 56h | 086d
 00007FF69E2BF29Dh, <%88> = 87 | 57h | 087d
 00007FF69E2BF29Dh, <%89> = 88 | 58h | 088d
 00007FF69E2BF29Dh, <%90> = 89 | 59h | 089d
 00007FF69E2BF29Dh, <%91> = 90 | 5Ah | 090d
 00007FF69E2BF29Dh, <%92> = 91 | 5Bh | 091d
 00007FF69E2BF29Dh, <%93> = 92 | 5Ch | 092d
 00007FF69E2BF29Dh, <%94> = 93 | 5Dh | 093d
 00007FF69E2BF29Dh, <%95> = 94 | 5Eh | 094d
 00007FF69E2BF29Dh, <%96> = 95 | 5Fh | 095d
 00007FF69E2BF29Dh, <%97> = 96 | 60h | 096d
 00007FF69E2BF29Dh, <%98> = 97 | 61h | 097d
 00007FF69E2BF29Dh, <%99> = 98 | 62h | 098d
 00007FF69E2BF29Dh, <%100> = 99 | 63h | 099d
 00007FF69E2BF29Dh, <%101> = 100 | 64h | 100d
 00007FF69E2BF29Dh, <%102> = 101 | 65h | 101d
 00007FF69E2BF29Dh, <%103> = 102 | 66h | 102d
 00007FF69E2BF29Dh, <%104> = 103 | 67h | 103d
 00007FF69E2BF29Dh, <%105> = 104 | 68h | 104d
 00007FF69E2BF29Dh, <%106> = 105 | 69h | 105d
 00007FF69E2BF29Dh, <%107> = 106 | 6Ah | 106d
 00007FF69E2BF29Dh, <%108> = 107 | 6Bh | 107d
 00007FF69E2BF29Dh, <%109> = 108 | 6Ch | 108d
 00007FF69E2BF29Dh, <%110> = 109 | 6Dh | 109d
 00007FF69E2BF29Dh, <%111> = 110 | 6Eh | 110d
 00007FF69E2BF29Dh, <%112> = 111 | 6Fh | 111d
 00007FF69E2BF29Dh, <%113> = 112 | 70h | 112d
 00007FF69E2BF29Dh, <%114> = 113 | 71h | 113d
 00007FF69E2BF29Dh, <%115> = 114 | 72h | 114d
 00007FF69E2BF29Dh, <%116> = 115 | 73h | 115d
 00007FF69E2BF29Dh, <%117> = 116 | 74h | 116d
 00007FF69E2BF29Dh, <%118> = 117 | 75h | 117d
 00007FF69E2BF29Dh, <%119> = 118 | 76h | 118d
 00007FF69E2BF29Dh, <%120> = 119 | 77h | 119d
